"","create_date","version_id","user_id","manuscript_id","manuscript_DOI","actionability","concreteness_confidence","discovery_value","expertise"
"87",2017-03-22 17:03:00,1,18,172,"10.1523/jneurosci.3413-16.2017",4.22,3.91,3.79,3.18
"88",2017-03-22 17:03:00,1,18,173,"10.1111/ejn.12523",3.85,3.61,4.08,3.18
"89",2017-03-28 11:53:00,1,18,193,"10.1016/j.neuron.2014.12.018",3.9,3.74,4.7,3.01
"90",2017-04-04 02:53:00,1,18,218,"10.1038/nn.2439",3.31,2.82,3.35,3.4
"91",2017-04-18 01:28:00,1,18,262,"10.1038/nature10009",4.18,3.37,3.8,3.3
"92",2017-04-18 01:28:00,1,18,263,"10.7554/elife.12499",4,3.33,4.49,3.24
"93",2017-07-21 17:17:00,2,20,376,"10.1038/srep20184",4.81,4.92,4.88,2.58
"94",2016-12-15 15:57:00,1,22,81,"10.7554/elife.11299",2.96,2.93,2.61,1.9
"95",2017-07-21 17:32:00,2,23,135,"10.1016/j.neuron.2014.01.025",2.21,2.82,3.12,3.17
"96",2017-07-21 17:31:00,2,23,384,"10.1152/jn.00594.2016",0.81,0.77,1.69,4.99
"97",2017-08-25 18:41:00,2,23,443,"10.1038/nn.3650",2.61,3.69,3.36,4.54
"98",2017-08-25 18:46:00,2,23,444,"10.1126/science.1254432",1.22,4.16,3.48,2.98
"99",2017-08-29 16:08:00,2,23,446,"10.1016/j.jphysparis.2016.10.005",1.43,3.06,2.77,5
"100",2017-08-29 16:10:00,2,23,447,"10.1152/jn.00576.2013",3.31,3.41,2.48,4.85
"101",2016-11-09 19:36:00,1,26,6,"10.1007/s00406-016-0725-2",3.28,2.59,2.52,2.57
"102",2016-11-19 17:01:00,1,26,23,"10.15252/emmm.201606271",3.22,3.73,4.22,2.56
"103",2016-11-19 17:55:00,1,26,24,"10.1038/srep32422",3.52,2.56,3.63,1.44
"104",2016-11-20 15:16:00,1,26,25,"10.3389/fncir.2016.00083",1.93,3.14,1.5,2.09
"105",2016-11-26 20:09:00,1,26,29,"10.1523/jneurosci.3081-14.2015",3.31,3.12,3.2,2.42
"106",2016-12-05 21:03:00,1,26,51,"10.1126/science.1241224",3.05,2.74,3.52,2.84
"107",2017-03-05 02:38:00,1,27,147,"10.1038/nn.4509",3.51,3.47,3.45,3.57
"108",2017-05-27 21:20:00,2,29,286,"10.1038/ncomms12266",5,4.28,3.62,5
"109",2017-03-23 04:46:00,1,30,35,"10.1038/nature08002",5,5,4.48,5
"110",2017-03-23 04:44:00,1,30,174,"10.1038/nature04587",4.63,4.26,5,3.46
"111",2017-03-23 04:57:00,1,30,175,"10.1007/978-3-642-85148-3_14",1.82,1.95,5,3.84
"112",2017-03-23 05:08:00,1,30,176,"10.1146/annurev.ne.18.030195.003011",4.88,2.78,4.48,5
"113",2017-03-23 05:09:00,1,30,177,"10.1038/338334a0",4.38,3.24,4.7,5
"114",2017-03-23 05:12:00,1,30,178,"10.1038/nn.3532",4.8,4.06,4.7,5
